appid,name,playtime_forever_min,playtime_forever_hrs,playtime_category,has_trading_cards,card_drops_remaining,achievements_status
532210,Life is Strange 2,289,4.82,Played,Yes,No,Not Started
873320,Life's Playground,0,0,Never Played,No,No,No Achievements
3352550,Like a Dragon: Pirate Yakuza in Hawaii Demo,0,0,Never Played,No,No,No Achievements
733050,Lines Infinite,71,1.18,Played,No,No,Not Started
785030,Little Adventurer III,46,0.77,Short Playtime (< 1 hr),No,No,No Achievements
424840,Little Nightmares,857,14.28,Long Playtime (> 10 hrs),Yes,No,In Progress
702200,Lost with Dinosaurs,101,1.68,Played,No,No,In Progress
218640,Lucius,176,2.93,Played,Yes,No,In Progress
914700,MINImax Tinyverse,63,1.05,Played,Yes,No,No Achievements
1507190,Machinika Museum,0,0,Never Played,No,No,No Achievements
40990,Mafia,0,0,Never Played,No,No,No Achievements
42910,Magicka,167,2.78,Played,Yes,No,Not Started
238370,Magicka 2,214,3.57,Played,Yes,No,In Progress
397080,Magicka 2: Spell Balance Beta,1,0.02,Short Playtime (< 1 hr),No,No,Not Started
209630,Magrunner: Dark Pulse,57,0.95,Short Playtime (< 1 hr),Yes,No,Not Started
504130,Manual Samuel - Last Tuesday Edition,182,3.03,Played,Yes,No,Not Started
859440,Mars or Die!,69,1.15,Played,No,No,Not Started
2767030,Marvel Rivals,183,3.05,Played,No,No,Not Started
24980,Mass Effect 2 (2010),63,1.05,Played,No,No,No Achievements
2362420,Mass Effect 2 (2010) Edition,0,0,Never Played,No,No,No Achievements
18480,Mata Hari,0,0,Never Played,No,No,No Achievements
2452280,Mecha BREAK,0,0,Never Played,No,No,Not Started
243200,Memoria,120,2,Played,Yes,No,Not Started
307070,Memories of a Vagabond,175,2.92,Played,Yes,No,No Achievements
63940,Men of War: Vietnam,80,1.33,Played,No,No,Not Started
294020,Merchants of Kaidan,200,3.33,Played,Yes,No,Not Started
567730,Merry Snowballs,71,1.18,Played,Yes,No,No Achievements
994560,Metal Revolution,68,1.13,Played,No,No,No Achievements
43110,Metro 2033,52,0.87,Short Playtime (< 1 hr),No,No,Not Started
286690,Metro 2033 Redux,0,0,Never Played,Yes,No,Not Started
43160,Metro: Last Light Complete Edition,91,1.52,Played,Yes,No,Not Started
241930,Middle-earth™: Shadow of Mordor™,1455,24.25,Long Playtime (> 10 hrs),Yes,No,In Progress
